Rank,Team,Coefficient
1, Clemson,56.2478323615613
2, Tennessee,46.40761210982
3, Louisville,44.908318850122
4, Texas_A&M,42.1787625635526
5, W_Michigan,38.8354197018712
6, Florida_St,37.4288359673882
7, Wisconsin,37.2715094191696
8, Alabama,36.3777124825152
9, Wake_Forest,36.1263127870346
10, Nebraska,35.2133033192645
11, Navy,34.8495362369328
12, Michigan,34.0817890813444
13, Boise_St,32.3560636653543
14, Troy,32.0327042900252
15, Houston,31.5249328115009
16, Florida,30.417370362584
17, Auburn,30.2387459143186
18, Mississippi,29.8202626041281
19, Southern_Miss,29.7493494016686
20, Ga_Southern,29.5301830918894
21, Georgia,29.4217127220856
22, Arizona_St,28.5762842187998
23, LSU,28.5151091475842
24, San_Diego_St,27.5382899164242
25, Tulane,27.3243885555077
26, Kentucky,27.2648076528646
27, South_Florida,26.7917512070887
28, ULL,26.6217263087709
29, Colorado,26.5786614217324
30, Arkansas,26.534878625694
31, Northwestern,26.5186272851484
32, North_Carolina,26.5139184595749
33, California,26.4236570127705
34, Stanford,26.2300331303434
35, Baylor,26.0298946053823
36, South_Alabama,25.9884655885091
37, Cincinnati,25.6696860105276
38, Georgia_Tech,25.5225842142007
39, West_Virginia,25.2720431670242
40, Texas,25.2004313683697
41, Washington,25.1155767193719
42, Oregon,24.6717817482384
43, Miami_FL,24.5623450551609
44, Mississippi_St,24.5570373974854
45, Purdue,24.3982095295948
46, Virginia_Tech,24.3839154784955
47, Michigan_St,23.6881552258051
48, Duke,23.2720868499854
49, Syracuse,23.1818987058057
50, Maryland,22.6653443850218
51, Connecticut,22.6466971707055
52, Air_Force,22.6224070238713
53, South_Carolina,22.4841941339847
54, Utah,22.3662796364506
55, Notre_Dame,22.2047521407621
56, UCLA,21.904292472999
57, Washington_St,21.8602461108192
58, Virginia,21.816602453001
59, C_Michigan,21.3050147148953
60, Nevada,21.0520371006864
61, Boston_College,20.9571433109144
62, UCF,20.8933574980478
63, Indiana,20.6710963736216
64, Buffalo,20.5881303990892
65, Oklahoma_St,20.2263229465067
66, Army,20.1366166428221
67, USC,19.6791692097188
68, Vanderbilt,19.3092999951343
69, Texas_Tech,19.1374427169924
70, BYU,18.8672355832411
71, Arizona,18.2247776018747
72, East_Carolina,18.1744192460519
73, NC_State,17.736620156717
74, UTEP,17.3263950965459
75, MTSU,17.321250720046
76, Hawaii,17.2979361796222
77, New_Mexico_St,16.0946668257467
78, Louisiana_Tech,15.8967076817558
79, Ohio_St,15.5236243977706
80, Iowa,14.3128929099752
81, TCU,14.0967989082723
82, Appalachian_St,13.7906768567828
83, Missouri,13.5310328625541
84, E_Michigan,12.8466436672761
85, Memphis,12.5363791705292
86, Tulsa,12.4991858987141
87, Texas_St,12.362253047986
88, Oklahoma,12.2953031031123
89, Kansas_St,11.9089057207381
90, Rutgers,11.8597243228562
91, Idaho,11.7714571453814
92, Akron,11.6702257324914
93, Minnesota,11.6456933130435
94, Ohio,11.5768123512063
95, Iowa_St,11.5381918938514
96, Wyoming,11.371673312602
97, Toledo,11.1157338951972
98, ULM,10.8964316826383
99, Pittsburgh,10.8629444116302
100, Illinois,10.6745105574713
101, Ball_St,10.6438546475091
102, SMU,10.3148977519119
103, Utah_St,10.0563435744866
104, Colorado_St,9.99549748671714
105, Penn_St,9.96972735952022
106, Oregon_St,9.70323058510553
107, North_Texas,9.35355585849999
108, Fresno_St,9.2621283751978
109, Marshall,9.24259432402937
110, Kansas,9.15661126188145
111, Georgia_St,9.09419736778872
112, Arkansas_St,8.90499054862996
113, FL_Atlantic,8.87558773600872
114, San_Jose_St,8.63340342458651
115, WKU,8.61071427615171
116, N_Illinois,8.57246452061402
117, Massachusetts,8.46627320881342
118, UNLV,7.99708069536565
119, Old_Dominion,7.79243877685833
120, Kent,7.33465253156485
121, Florida_Intl,7.17778893362518
122, Bowling_Green,7.05432389440709
123, Miami_OH,6.84373662137713
124, Temple,6.42163872052093
125, New_Mexico,6.02735068787731
126, UT_San_Antonio,6.01021986654044
127, Charlotte,4.29645342283627
128, Rice,4.07017850145776
