Rank,Team,Coefficient,Conference
1, Texas_A&M,34.5717020015778, SEC
2, Clemson,33.7946040804121, ACC
3, Alabama,32.2790971421412, SEC
4, Tennessee,32.185142751681, SEC
5, Virginia_Tech,31.2323661733704, ACC
6, Louisville,31.0946537699002, ACC
7, Michigan,30.2644044388242, BIG10
8, Florida_St,29.954925178, ACC
9, Mississippi,29.9375663025537, SEC
10, Georgia,29.8418185819901, SEC
11, Boise_St,29.778450605596, GroupOf5
12, Washington,29.7600621731306, PAC12
13, North_Carolina,29.6738838471493, ACC
14, Nebraska,29.5564582475958, BIG10
15, W_Michigan,29.5525520996666, GroupOf5
16, Washington_St,29.2570396328829, PAC12
17, Wisconsin,29.1249424454135, BIG10
18, West_Virginia,29.11686096213, BIG12
19, Ohio_St,28.9205845860398, BIG10
20, Baylor,28.6681100948356, BIG12
21, Auburn,28.6479736623894, SEC
22, Northwestern,28.6373903026001, BIG10
23, Troy,28.5205719410531, GroupOf5
24, Stanford,28.3744616193805, PAC12
25, Florida,28.2719239859484, SEC
26, LSU,28.0704034367729, SEC
27, Iowa,28.0309282590276, BIG10
28, Arkansas,27.887040304105, SEC
29, Miami_FL,27.838563821426, ACC
30, South_Florida,27.7892777425179, GroupOf5
31, Appalachian_St,27.5411764339828, GroupOf5
32, Kansas_St,27.1406975547051, BIG12
33, Akron,26.8992953095743, GroupOf5
34, Missouri,26.1127553029716, SEC
35, Tulsa,22.8448881938167, GroupOf5
36, Houston,22.5026484072957, GroupOf5
37, Navy,22.4604793789987, GroupOf5
38, Oklahoma,22.4225286018571, BIG12
39, Maryland,22.2733922242189, BIG10
40, UCF,22.2359681444315, GroupOf5
41, Memphis,22.0758735715299, GroupOf5
42, Air_Force,22.0318106122228, GroupOf5
43, Minnesota,21.9582304127648, BIG10
44, Arizona_St,21.9378642133904, PAC12
45, Idaho,21.905504854838, GroupOf5
46, Penn_St,21.8889376895648, BIG10
47, Rutgers,21.8658065720757, BIG10
48, Colorado,21.7582618391517, PAC12
49, Toledo,21.6847108433306, GroupOf5
50, Indiana,21.529823001186, BIG10
51, UCLA,21.4703225010893, PAC12
52, USC,21.2244180286547, PAC12
53, Pittsburgh,21.167905543129, ACC
54, Oklahoma_St,21.157782408045, BIG12
55, Wyoming,21.1486531940558, GroupOf5
56, Tulane,21.1396754730118, GroupOf5
57, Oregon,21.1068938960637, PAC12
58, Kent,20.9986073413011, GroupOf5
59, Texas_Tech,20.8860895171474, BIG12
60, Wake_Forest,20.8665997428379, ACC
61, BYU,20.7318359940229, IND
62, Oregon_St,20.7311181029015, PAC12
63, Utah,20.7210103387517, PAC12
64, Georgia_Tech,20.6613097668902, ACC
65, Boston_College,20.532444794281, ACC
66, Kentucky,20.4686994811928, SEC
67, Michigan_St,20.204099536639, BIG10
68, Old_Dominion,19.8503836131821, GroupOf5
69, Colorado_St,19.8060938004954, GroupOf5
70, C_Michigan,19.3906315286933, GroupOf5
71, Arizona,19.2745580998652, PAC12
72, Louisiana_Tech,19.2039367558778, GroupOf5
73, MTSU,19.1984880583433, GroupOf5
74, Purdue,19.0379539386818, BIG10
75, E_Michigan,19.0362841203229, GroupOf5
76, UT_San_Antonio,19.0224187541084, GroupOf5
77, Utah_St,18.9861509612355, GroupOf5
78, Texas,18.9774186053964, BIG12
79, Southern_Miss,18.3056279186231, GroupOf5
80, East_Carolina,18.0784285636804, GroupOf5
81, NC_State,17.9427949198363, ACC
82, Duke,17.8512536165528, ACC
83, South_Carolina,17.8082126739994, SEC
84, Arkansas_St,17.7299475725184, GroupOf5
85, California,17.6124986075001, PAC12
86, Cincinnati,17.5771637915161, GroupOf5
87, San_Diego_St,17.4848651381547, GroupOf5
88, Ga_Southern,17.4525451695211, GroupOf5
89, Vanderbilt,16.8087972131836, SEC
90, Virginia,16.7857812779995, ACC
91, Hawaii,16.7314697379632, GroupOf5
92, TCU,16.7053010958485, BIG12
93, Syracuse,16.5608771556856, ACC
94, Mississippi_St,16.073624056624, SEC
95, Connecticut,15.7036413339627, GroupOf5
96, Massachusetts,14.9294087559881, IND
97, ULL,14.7791341167239, GroupOf5
98, Iowa_St,14.529567363674, BIG12
99, Buffalo,14.100868804887, GroupOf5
100, Illinois,13.8422098375453, BIG10
101, Notre_Dame,13.607441679113, IND
102, N_Illinois,13.3531030243769, GroupOf5
103, Florida_Intl,13.2638877072608, GroupOf5
104, Nevada,13.1848284042945, GroupOf5
105, South_Alabama,12.3575281058074, GroupOf5
106, Army,12.1038711920472, IND
107, ULM,12.0813220914872, GroupOf5
108, WKU,11.9904976505155, GroupOf5
109, Temple,11.9186999759783, GroupOf5
110, SMU,11.575503260254, GroupOf5
111, Georgia_St,11.5280757247886, GroupOf5
112, UNLV,11.4056080409794, GroupOf5
113, Ball_St,10.656407276599, GroupOf5
114, Charlotte,10.6122205511014, GroupOf5
115, Texas_St,10.1736001156991, GroupOf5
116, Kansas,9.9396174211048, BIG12
117, Marshall,9.67992566717326, GroupOf5
118, Ohio,9.62498057325948, GroupOf5
119, UTEP,9.41937495616876, GroupOf5
120, New_Mexico_St,9.18945437998486, GroupOf5
121, North_Texas,9.14837311480369, GroupOf5
122, Bowling_Green,8.99930706677456, GroupOf5
123, New_Mexico,7.88805083492345, GroupOf5
124, FL_Atlantic,7.19798705730746, GroupOf5
125, Miami_OH,6.38586965471372, GroupOf5
126, Fresno_St,5.06921401781234, GroupOf5
127, Rice,3.2922893057945, GroupOf5
128, San_Jose_St,0.252745179652873, GroupOf5
