index,team,conference
1, Air_Force, MWC
   2, Akron, M-A
   3, Alabama, SEC
   4, Appalachian_St, SB
   5, Arizona, PAC12
   6, Arizona_St, PAC12
   7, Arkansas, SEC
   8, Arkansas_St, SB
   9, Army, IND
  10, Auburn, SEC
  11, Ball_St, M-A
  12, Baylor, BIG12
  13, Boise_St, MWC
  14, Boston_College, ACC
  15, Bowling_Green, M-A
  16, Buffalo, M-A
  17, BYU, IND
  18, C_Michigan, M-A
  19, California, PAC12
  20, Charlotte, CUSA
  21, Cincinnati, AAC
  22, Clemson, ACC
  23, Colorado, PAC12
  24, Colorado_St, MWC
  25, Connecticut, AAC
  26, Duke, ACC
  27, E_Michigan, M-A
  28, East_Carolina, AAC
  29, FL_Atlantic, CUSA
  30, Florida, SEC
  31, Florida_Intl, CUSA
  32, Florida_St, ACC
  33, Fresno_St, MWC
  34, Ga_Southern, SB
  35, Georgia, SEC
  36, Georgia_St, SB
  37, Georgia_Tech, ACC
  38, Hawaii, MWC
  39, Houston, AAC
  40, Idaho, SB
  41, Illinois, BIG10
  42, Indiana, BIG10
  43, Iowa, BIG10
  44, Iowa_St, BIG12
  45, Kansas, BIG12
  46, Kansas_St, BIG12
  47, Kent, M-A
  48, Kentucky, SEC
  49, Louisiana_Tech, CUSA
  50, Louisville, ACC
  51, LSU, SEC
  52, Marshall, CUSA
  53, Maryland, BIG10
  54, Massachusetts, IND
  55, Memphis, AAC
  56, Miami_FL, ACC
  57, Miami_OH, M-A
  58, Michigan, BIG10
  59, Michigan_St, BIG10
  60, Minnesota, BIG10
  61, Mississippi, SEC
  62, Mississippi_St, SEC
  63, Missouri, SEC
  64, MTSU, CUSA
  65, N_Illinois, M-A
  66, Navy, AAC
  67, NC_State, ACC
  68, Nebraska, BIG10
  69, Nevada, MWC
  70, New_Mexico, MWC
  71, New_Mexico_St, SB
  72, North_Carolina, ACC
  73, North_Texas, CUSA
  74, Northwestern, BIG10
  75, Notre_Dame, IND
  76, Ohio, M-A
  77, Ohio_St, BIG10
  78, Oklahoma, BIG12
  79, Oklahoma_St, BIG12
  80, Old_Dominion, CUSA
  81, Oregon, PAC12
  82, Oregon_St, PAC12
  83, Penn_St, BIG10
  84, Pittsburgh, ACC
  85, Purdue, BIG10
  86, Rice, CUSA
  87, Rutgers, BIG10
  88, San_Diego_St, MWC
  89, San_Jose_St, MWC
  90, SMU, AAC
  91, South_Alabama, SB
  92, South_Carolina, SEC
  93, South_Florida, AAC
  94, Southern_Miss, CUSA
  95, Stanford, PAC12
  96, Syracuse, ACC
  97, TCU, BIG12
  98, Temple, AAC
  99, Tennessee, SEC
 100, Texas, BIG12
 101, Texas_A&M, SEC
 102, Texas_St, SB
 103, Texas_Tech, BIG12
 104, Toledo, M-A
 105, Troy, SB
 106, Tulane, AAC
 107, Tulsa, AAC
 108, UCF, AAC
 109, UCLA, PAC12
 110, ULL, SB
 111, ULM, SB
 112, UNLV, MWC
 113, USC, PAC12
 114, UT_San_Antonio, CUSA
 115, Utah, PAC12
 116, Utah_St, MWC
 117, UTEP, CUSA
 118, Vanderbilt, SEC
 119, Virginia, ACC
 120, Virginia_Tech, ACC
 121, W_Michigan, M-A
 122, Wake_Forest, ACC
 123, Washington, PAC12
 124, Washington_St, PAC12
 125, West_Virginia, BIG12
 126, Wisconsin, BIG10
 127, WKU, CUSA
 128, Wyoming, MWC
