index,team,conference
1, Air_Force, GroupOf5
   2, Akron, GroupOf5
   3, Alabama, SEC
   4, Appalachian_St, GroupOf5
   5, Arizona, PAC12
   6, Arizona_St, PAC12
   7, Arkansas, SEC
   8, Arkansas_St, GroupOf5
   9, Army, IND
  10, Auburn, SEC
  11, Ball_St, GroupOf5
  12, Baylor, BIG12
  13, Boise_St, GroupOf5
  14, Boston_College, ACC
  15, Bowling_Green, GroupOf5
  16, Buffalo, GroupOf5
  17, BYU, IND
  18, C_Michigan, GroupOf5
  19, California, PAC12
  20, Charlotte, GroupOf5
  21, Cincinnati, GroupOf5
  22, Clemson, ACC
  23, Colorado, PAC12
  24, Colorado_St, GroupOf5
  25, Connecticut, GroupOf5
  26, Duke, ACC
  27, E_Michigan, GroupOf5
  28, East_Carolina, GroupOf5
  29, FL_Atlantic, GroupOf5
  30, Florida, SEC
  31, Florida_Intl, GroupOf5
  32, Florida_St, ACC
  33, Fresno_St, GroupOf5
  34, Ga_Southern, GroupOf5
  35, Georgia, SEC
  36, Georgia_St, GroupOf5
  37, Georgia_Tech, ACC
  38, Hawaii, GroupOf5
  39, Houston, GroupOf5
  40, Idaho, GroupOf5
  41, Illinois, BIG10
  42, Indiana, BIG10
  43, Iowa, BIG10
  44, Iowa_St, BIG12
  45, Kansas, BIG12
  46, Kansas_St, BIG12
  47, Kent, GroupOf5
  48, Kentucky, SEC
  49, Louisiana_Tech, GroupOf5
  50, Louisville, ACC
  51, LSU, SEC
  52, Marshall, GroupOf5
  53, Maryland, BIG10
  54, Massachusetts, IND
  55, Memphis, GroupOf5
  56, Miami_FL, ACC
  57, Miami_OH, GroupOf5
  58, Michigan, BIG10
  59, Michigan_St, BIG10
  60, Minnesota, BIG10
  61, Mississippi, SEC
  62, Mississippi_St, SEC
  63, Missouri, SEC
  64, MTSU, GroupOf5
  65, N_Illinois, GroupOf5
  66, Navy, GroupOf5
  67, NC_State, ACC
  68, Nebraska, BIG10
  69, Nevada, GroupOf5
  70, New_Mexico, GroupOf5
  71, New_Mexico_St, GroupOf5
  72, North_Carolina, ACC
  73, North_Texas, GroupOf5
  74, Northwestern, BIG10
  75, Notre_Dame, IND
  76, Ohio, GroupOf5
  77, Ohio_St, BIG10
  78, Oklahoma, BIG12
  79, Oklahoma_St, BIG12
  80, Old_Dominion, GroupOf5
  81, Oregon, PAC12
  82, Oregon_St, PAC12
  83, Penn_St, BIG10
  84, Pittsburgh, ACC
  85, Purdue, BIG10
  86, Rice, GroupOf5
  87, Rutgers, BIG10
  88, San_Diego_St, GroupOf5
  89, San_Jose_St, GroupOf5
  90, SMU, GroupOf5
  91, South_Alabama, GroupOf5
  92, South_Carolina, SEC
  93, South_Florida, GroupOf5
  94, Southern_Miss, GroupOf5
  95, Stanford, PAC12
  96, Syracuse, ACC
  97, TCU, BIG12
  98, Temple, GroupOf5
  99, Tennessee, SEC
 100, Texas, BIG12
 101, Texas_A&M, SEC
 102, Texas_St, GroupOf5
 103, Texas_Tech, BIG12
 104, Toledo, GroupOf5
 105, Troy, GroupOf5
 106, Tulane, GroupOf5
 107, Tulsa, GroupOf5
 108, UCF, GroupOf5
 109, UCLA, PAC12
 110, ULL, GroupOf5
 111, ULM, GroupOf5
 112, UNLV, GroupOf5
 113, USC, PAC12
 114, UT_San_Antonio, GroupOf5
 115, Utah, PAC12
 116, Utah_St, GroupOf5
 117, UTEP, GroupOf5
 118, Vanderbilt, SEC
 119, Virginia, ACC
 120, Virginia_Tech, ACC
 121, W_Michigan, GroupOf5
 122, Wake_Forest, ACC
 123, Washington, PAC12
 124, Washington_St, PAC12
 125, West_Virginia, BIG12
 126, Wisconsin, BIG10
 127, WKU, GroupOf5
 128, Wyoming, GroupOf5
